ordinal,hp,torque,weightLbs,weightKg,displacement,engine,drivetrain,gears,aspiration,frontWeightPct,pi,speedRating,brakingRating,handlingRating,accelRating,price,division,topSpeedMph,quarterMile,zeroToSixty,zeroToHundred,braking60,braking100,lateralG60,lateralG120,imageUrl,wikiUrl,synopsis
265,296,304,2866,1300,3.3,"F6",RWD,4,t,40,448,2.9,2,2,3.5,105000,"Sport GT Icons",157,13.7,5.1,12.2,121.9,0,1.05,1.02,"/car-images/265.png","https://forza.fandom.com/wiki/Porsche_911_Turbo_3.3","The 911 Turbo 3.3, codenamed 930, is an updated variant of the original 911 Turbo and the fastest production car of the first generation Porsche 911. It first became available for the 1978 model year and was replaced by the 964 in 1990. Visually, the 911 Turbo 3.3 differs from regular 911 models by having bigger fenders for wider tires and a large 'ducktail' rear spoiler with small vent openings that draw in more air to the engine. The Turbo 3.3 has a flat-six powertrain mated to a four-speed ma"
266,125,131,2196,996,2,"F6",RWD,5,na,46,265,1,1.2,1.3,1.6,49000,"Vintage Sport Compact",122.6,16.3,8.7,26.4,119.6,319.6,0.99,0.93,"/car-images/266.png","https://forza.fandom.com/wiki/Porsche_914/6","The 914/6 is the top-of-the-line model of the Porsche 914, a mid-engined targa top roadster designed as an entry-level model priced below the Porsche 911. To distinguish it from lesser models, the 914/6 is powered by a flat-six engine from the 1969 Porsche 911 T and was assembled by Porsche in Stuttgart, as opposed to the four-cylinder models, which were fully assembled by Karmann. The 914/6 started production in 1970 but was discontinued in 1973 due to poor sales. Since then, Porsche had not bu"
268,247,258,3115,1413,2.5,"I4",RWD,5,t,51,429,3.3,2.1,2.3,3.1,95000,"Sport Touring Classics",162,14.218,5.5,14.119,113.2,287.7,1.09,1.05,"/car-images/268.png","https://forza.fandom.com/wiki/Porsche_944_Turbo","The 944 Turbo is the highest-performing model of the Porsche 944, a front-engined sports car that succeeded the Porsche 924 in 1982 and was replaced by the Porsche 968 in 1991."
269,450,369,3190,1447,2.8,"F6",RWD,6,tt,43,687,6,3.2,3.1,5.1,156000,"Exotic GT Classics",199.8,11.882,3.58,8.181,103.6,0,1.15,1.18,"/car-images/269.png","https://forza.fandom.com/wiki/Porsche_959","The 959 was first used as a Group B rally car and later developed into a road-legal production supercar designed to satisfy FIA homologation regulations requiring at least 200 road-legal units be built. The Porsche 911 GT1 Strassenversion was released in 1998 as the 959's successor."
278,236,236,3071,1393,2,"I4",FWD,6,t,63,386,2.6,2,2,2.5,51000,"Modern Hot Hatch",153.2,13.5,6.4,15.1,110.3,287.4,1.06,1.01,"/car-images/278.png","https://forza.fandom.com/wiki/Vauxhall_Astra_VXR_(2006)","The 2006 Astra VXR is the first Vauxhall Astra model to be offered as a VXR performance model. It received a successor in 2012."
286,349,332,3605,1635,3.2,"V6",RWD,5,tw,54,470,5.1,2.2,2.2,3.4,83000,"Sport Touring Classics",185.5,13.6,5.082,12.2,110.1,286,1.08,1.04,"/car-images/286.png","https://forza.fandom.com/wiki/Mercedes-Benz_C_32_AMG","The 2004 C 32 AMG represents the second generation of sports saloons based on the Mercedes-Benz C Class. Compared to the first generation model, it is powered by a six-cylinder engine instead of a V8 engine, although the latter was reintroduced in its facelift replacement model, the C55 AMG. Its name refers to the 3.2 liter displacement of its V6 engine, which is fitted with a twin-screw supercharger to allow it produce more power than its predecessor despite having a smaller displacement. The e"
287,325,350,3554,1612,5.7,"V8",RWD,6,na,55,499,4.2,2.2,2.4,3,80000,"Sport Touring Classics",175,13.5,5.19,11.84,120.1,294.5,1.1,1.07,"/car-images/287.png","https://forza.fandom.com/wiki/Chevrolet_Camaro_35th_Anniversary_Super_Sport","The 35th Anniversary Super Sport is the final model available from the fourth generation Chevrolet Camaro, which ended production in 2002. Each model is painted in Bright Rallye Red with gray dual stripe graphics, and could be had with a convertible roof or T-top. The fourth generation Camaro marks the end of the F-body, a RWD platform that served all Camaro and Firebird models since 1967. Its successor, the 2010 Chevrolet Camaro SS is based on a Holden platform."
289,375,415,3527,1600,6.5,"V8",RWD,4,na,58,333,1.7,1.1,1.2,2.5,70000,"Vintage Muscle",141.5,14.23,6.4,16.3,133.1,381.4,0.98,0.92,"/car-images/289.png","https://forza.fandom.com/wiki/Chevrolet_Camaro_Super_Sport_Coupe","The Super Sport Coupe is a performance model of the 1969 Camaro that was available with various engines including a 375 hp 'big block' V8 engine. It was also available in the Z28 trim, a performance model designed for the Trans-Am racing series."
291,379,419,3641,1652,3.6,"I6",RWD,6,tt,55,499,4.8,2.1,2.3,3.3,91000,"Sport Touring Classics",181.3,13.5,4.9,11,112,286.9,1.08,1.05,"/car-images/291.png","https://forza.fandom.com/wiki/Vauxhall_Lotus_Carlton","The Lotus Carlton is an extensively redesigned Vauxhall Carlton by Lotus that is capable of at least , making it the world's fastest production sedan at the time of its debut. It is based on a stripped out Carlton platform that is powered by a bored out 3.6 liter Opel inline-six engine with 24 valves and Garrett twin turbochargers. Its suspension and steering received upgrades from the Vauxhall Senator to improve high-speed stability and feedback, respectively. It was produced from 1990 to 1992 "
292,605,435,3528,1600,5.7,"V10",RWD,6,na,42,750,6.6,4.5,4.2,5.6,288000,"Exotic GT Classics",209.5,11.3,3.578,7,93.5,234.3,1.26,1.31,"/car-images/292.png","https://forza.fandom.com/wiki/Porsche_Carrera_GT","Codenamed Typ 980, the Carrera GT was designed to replace the Porsche 911 GT1 Straßenversion as Porsche's newest halo car of the 2000s decade. Similar to the GT1, its development was closely tied with motorsport racing, although the Carrera GT was made to be more usable for everyday driving. Porsche produced 1270 units of the Carrera GT which were sold until 2006. A successor - the Porsche 918 Spyder - was released in 2014."
295,187,133,2560,1161,1.8,"I4",FWD,6,na,64,329,2.3,1.5,1.8,2,37000,"Early Sport Compact",140.6,15.314,6.64,18.033,113.7,0,1.05,0.99,"/car-images/295.png","https://forza.fandom.com/wiki/Toyota_Celica_Sport_Specialty_II","It is a Japanese domestic market model of the seventh and final model generation of the Toyota Celica that was produced from 1999 to 2006. Different to the previous model generation, this T230 codenamed model generation no longer featured the GT-Four trim that came with four-wheel drive, making it only available with front-wheel drive across all trim levels."
297,409,275,2844,1290,3.6,"V8",RWD,6,na,43,644,5.5,3.8,3.9,4.1,142000,"Sport GT Icons",196.4,12.2,4.118,9.7,109.6,0,1.22,1.26,"/car-images/297.png","https://forza.fandom.com/wiki/Ferrari_360_Challenge_Stradale","The Challenge Stradale is a limited-production track-focused variant of the 360 Modena. Inspired by the 360 Modena Challenge racing car, it was focused primarily on improving its track lap times by improving its handling, braking, and weight reduction characteristics, essential in pure racing cars. Ferrari engineers designed the car from the outset with a goal of 20% track day use in mind and 80% road use. With only a small  improvement in engine power from the Modena, the Challenge Stradale acc"
299,450,500,3799,1723,7.4,"V8",RWD,4,na,59,383,1.1,1.1,1.2,3.2,84000,"Street Drag Racers",0,0,0,0,0,0,0,0,"/car-images/299.png","https://forza.fandom.com/wiki/Chevrolet_Chevelle_Super_Sport_454",""
302,212,149,2624,1190,2,"I4",FWD,6,na,61,379,2.5,1.8,2.1,2.2,51000,"Modern Hot Hatch",151.6,15.2,6.182,15.4,114.5,299.5,1.07,1.02,"/car-images/302.png","https://forza.fandom.com/wiki/Honda_Civic_Type_R_(2004)","The 2004 Civic Type-R, codenamed EP3, is the successor to the EK9 model built from 1997 to 2000. Due to its assembly in Great Britain, the EP3 Type R was mainly destined for the European market but was also exported to Japan. The EP3 received a successor for the 2007 model year, although its successor was available in two different model variants specifically designed for the European and Japanese market, respectively."
306,425,500,2350,1066,7,"V8",RWD,4,na,52,543,3.7,1.7,2.2,4.4,147000,"Vintage Le Mans Sportscars",168.2,12.2,4.3,8.8,113,302.8,1.08,1.02,"/car-images/306.png","https://forza.fandom.com/wiki/Shelby_Cobra_427_S/C","The Cobra 427 S/C is the top model of the Shelby Cobra, a high-performance roadster based on the British-made AC Ace, and powered by a big block Ford V8 engine. The 1965 model received a 427 cubic inch (7 liter) V8 engine with , allowing it to accelerate from 0 to  in only 4.3 seconds. It was also redesigned with a fully independent suspension by Ford GT40 engineer Klaus Arning to rectify handling problems from previous models. The S/C (Semi-Competition) is the ultimate incarnation of the Cobra "
309,178,177,2734,1240,2.8,"V6",FWD,5,na,58,340,2.5,1.6,1.9,2,48000,"Hot Hatch Icons",149.6,15.7,7.282,19.081,117.9,315.7,1.05,1.01,"/car-images/309.png","https://forza.fandom.com/wiki/Volkswagen_Corrado_VR6","The Corrado debuted in 1988 as an upmarket sport coupé ranging above the Scirocco, although it was replaced altogether by the former in 1992. The VR6 model first became available in 1992, and featured a unique 2.8 liter V6 with 15° cylinder banks and , although there was also a more powerful 2.9 liter variant for Europe. It also had an active rear wing that raised at . The Corrado was discontinued in 1994 in the United States and ended worldwide production the following year."
312,435,460,3384,1535,7,"V8",RWD,4,na,46,405,2.7,1.3,1.4,3,93000,"Vintage Muscle",155.2,13.6,4.7,12.3,113.8,0,1,0.93,"/car-images/312.png","https://forza.fandom.com/wiki/Chevrolet_Corvette_Stingray_427","The 1967 Corvette is part of the C2 codenamed second generation Chevrolet Corvette, which debuted in 1963 to replace the C1 Corvette. The model in the Forza series is powered by a 427 ci (7.0 L) V8 engine with a power output of  that was only available with the extremely rare L88 option."
314,405,400,3120,1415,5.7,"V8",RWD,6,na,56,599,6,2.7,3.3,3.6,103000,"Sport GT Icons",191.7,12.8,4.5,9.919,106.3,269.7,1.19,1.17,"/car-images/314.png","https://forza.fandom.com/wiki/Chevrolet_Corvette_Z06_(2002)",""
315,370,380,3373,1530,5.7,"V8",RWD,4,na,49,386,1.5,1.3,1.6,2.5,85000,"Vintage Muscle",138.9,14.17,5.7,16.1,119.1,0,1.02,0.96,"/car-images/315.png","https://forza.fandom.com/wiki/Chevrolet_Corvette_ZR-1_(1970)","Dubbed 'Special Purpose Engine Package', the 1970 ZR-1 was a performance package with a small-block V8 for the third generation C3 codenamed Chevrolet Corvette, making it a successor to the big-block Corvette Stingray 427. The ZR-1 name was revived in 1990 for the C4 Corvette, the fourth generation of the Corvette."
316,455,369,3284,1490,5.2,"V12",RWD,5,na,41,588,4.4,2.7,3.1,3.9,136000,"Exotic GT Classics",185.2,12.338,3.744,8.145,103.1,0,1.17,1.16,"/car-images/316.png","https://forza.fandom.com/wiki/Lamborghini_Countach_LP5000_QV",""
320,158,112,2161,980,1.6,"I4",FWD,5,na,62,305,1.9,1.7,2.1,1.7,42000,"Hot Hatch Icons",142.6,15.5,7.217,20.718,112.2,0,1.07,1.03,"/car-images/320.png","https://forza.fandom.com/wiki/Honda_CR-X_SiR","The 1991 CR-X is the final model year of the second generation Honda CR-X and was exclusive for the Japanese domestic market. The SiR was designated as a performance model, and is one of the earliest adopters of Honda's VTEC variable valve timing system. The second generation CR-X was replaced by the Del Sol roadster in 1992."
323,210,224,2866,1300,2,"I4",AWD,5,t,63,309,1.6,1.6,1.6,2,70000,"Hot Hatch Icons",138.1,15.35,5.7,19.4,117.1,308.4,1.02,0.98,"/car-images/323.png","https://forza.fandom.com/wiki/Lancia_Delta_HF_Integrale_Evo","The Delta HF Integrale Evo (Evoluzione) was the road model of Lancia's Group A Delta rally car, which became the manufacturer's main focus in the World Rally Championship after the discontinuation of the Group B class. Lancia ended factory support for the World Rally Championship after 1992, but still offered a road-going variant in 1993 as the Integrale Evoluzione II, making it the last rally-bred Delta ever made."
324,590,472,3075,1395,6,"V12",RWD,5,na,40,748,6.7,4.9,5,4.9,227000,"Early Factory Racecars",208.6,11.6,3.5,8.4,96.1,236,1.34,1.41,"/car-images/324.png","https://forza.fandom.com/wiki/Lamborghini_Diablo_GTR","Upgraded with a roll cage, aerodynamic improvements for more downforce and more powerful engine, the Diablo GTR was designed as a track variant of the Lamborghini Diablo SV. It was entered in Lamborghini's one-make Supertrophy series across Europe."
325,530,446,3474,1576,5.7,"V12",RWD,5,na,41,653,6.9,3,3.3,4.5,144000,"Exotic GT Classics",212.2,12.2,4.3,9,104.5,265.6,1.18,1.19,"/car-images/325.png","https://forza.fandom.com/wiki/Lamborghini_Diablo_SV","The Diablo (Spanish for 'devil') is the third iteration of Lamborghini's V12 supercar, replacing the decades-old Lamborghini Countach that had been in production since 1974. The Super Veloce (SV) model was introduced in 1995 as the rear-wheel drive counterpart to the all-wheel drive Diablo VT. The Diablo received a facelift in 1998, which replaced the car's pop-up lights with fixed headlights along with other styling changes. In 2001, the Lamborghini Murciélago was introduced as the Diablo's suc"
326,199,165,2380,1080,2.4,"V6",RWD,5,na,41,311,2.1,1.5,1.8,2,93000,"Vintage Exotic GT",145.5,15.4,7.9,21.52,115.2,0,1.04,0.99,"/car-images/326.png","https://forza.fandom.com/wiki/Ferrari_Dino_246_GT","The 246 GT - with 24 standing for its displacement in litres and 6 for its cylinder count - is a redesigned variant of the Dino 206 GT. The Dino brand was a short-lived division by Ferrari that was established to sell Ferrari cars with engines featuring less than twelve cylinders in order to avoid possibly dilluting the image of the main brand. The Dino 246 GT was produced until 1974 and officially claimed to be a commercial success. Its replacement model - the 308 GTB - was no longer offered as"
327,210,214,3199,1451,2,"I4",AWD,5,t,59,352,3.4,1.6,2,2,52000,"Early Sport Compact",0,0,0,0,0,0,0,0,"/car-images/327.png","https://forza.fandom.com/wiki/Mitsubishi_Eclipse_GSX","The Eclipse GSX was developed alongside the Eagle Talon TSi Turbo and Plymouth Laser as part of the Diamond-Star Motors (DSM) joint venture between Chrysler and Mitsubishi. Each model was targeted at the sport compact segment, and offered an AWD system by the Mitsubishi Galant VR-4 in place of the FWD drivetrain from lesser models. They were recognized by their hood bump, which provided clearance for the camshaft gears of the 4G63T, a turbocharged engine developed from the Mitsubishi Lancer Evol"
330,126,113,1640,744,1.6,"I4",RWD,4,na,47,272,1,1.1,1.3,1.6,54000,"Vintage Sport Compact",0,0,0,0,0,0,0,0,"/car-images/330.png","https://forza.fandom.com/wiki/Lotus_Elan_Sprint",""
333,650,485,3086,1400,6,"V12",RWD,6,na,44,787,7.3,5.3,5.3,6.3,338000,"Exotic GT Classics",217.8,11.118,3.3,6.6,99.2,0,1.31,1.5,"/car-images/333.png","https://forza.fandom.com/wiki/Ferrari_Enzo_Ferrari","Named after Ferrari's founder, the Enzo Ferrari is the successor to the Ferrari F50 and was replaced by the Ferrari LaFerrari hybrid hypercar in 2013. It is also Ferrari's last mid-engined, non-hybrid production model with a V12 engine. The Ferrari Enzo Ferrari uses a new engine, codenamed F140 B. It is a 6.0 L (5,998 cc) V12 based on the design of the Maserati Quattroporte's V8, using the same basic design and 104 mm (4.1 in) bore spacing. The engine produces  at 7,800 rpm and  of torque at 5,5"
335,350,295,2851,1293,3.5,"V8",RWD,5,tt,43,579,5.1,2.7,3,4,115000,"Sport GT Icons",0,0,0,0,0,0,0,0,"/car-images/335.png","https://forza.fandom.com/wiki/Lotus_Esprit_V8",""
336,265,260,2900,1315,3.8,"I6",RWD,4,na,47,304,1.5,1.3,1.5,1.9,87000,"Vintage Le Mans Sportscars",139.7,15.582,7.381,18.981,121.9,315.6,1,0.96,"/car-images/336.png","https://forza.fandom.com/wiki/Jaguar_E-type",""
338,618,480,2469,1120,6.1,"V12",RWD,6,na,41,787,7.6,5.1,5.4,5.8,247000,"Early Factory Racecars",221.8,11,3.2,6.9,86.3,0,1.34,1.5,"/car-images/338.png","https://forza.fandom.com/wiki/McLaren_F1_GT","The F1 GT was the last homologation special version of the McLaren F1 GTR race car, which in turn was based on the McLaren F1 road-going supercar. The F1 GT retains the 6.1 liter (6,064 cc) naturally aspirated V12 engine from the F1, the BMW S70/2, with identical power and torque specifications. In Xbox One generation titles however, it is featured with , the correct brake horsepower output, as opposed to the F1, which incorrectly still has the metric  as brake horsepower output."
340,478,424,2980,1352,2.9,"V8",RWD,5,tt,42,699,6.1,3.6,4,5.6,170000,"Exotic GT Classics",201.6,11.7,3.7,8.1,98.4,0,1.22,1.3,"/car-images/340.png","https://forza.fandom.com/wiki/Ferrari_F40","The F40 was designed to celebrate Ferrari's 40th anniversary, and replaced the Ferrari 288 GTO. It served a double purpose as being Ferrari's answer to the Porsche 959 showing a radically different, more bare-bones approach to the modern supercar, and as the first production car to break the  barrier. It was replaced by the Ferrari F50 in 1995."
342,513,347,2976,1350,4.7,"V12",RWD,6,na,42,683,5.9,4.1,4.4,4.4,159000,"Exotic GT Classics",197.7,12.066,3.632,8.428,98.7,0,1.27,1.33,"/car-images/342.png","https://forza.fandom.com/wiki/Ferrari_F50","With inspiration from the Ferrari 641 Formula One race car driven by Alain Prost, the F50 is a limited-production supercar produced between 1995 and 1997. It succeeds the Ferrari F40 of the late 1980s. Only 349 F50s were produced. In 2002, the successor to the F50, known as Ferrari Enzo Ferrari, was introduced."
343,160,133,2308,1047,2,"I6",RWD,5,na,51,277,1,1.4,1.5,1.8,42000,"Vintage Sport Compact",0,0,0,0,0,0,0,0,"/car-images/343.png","https://forza.fandom.com/wiki/Nissan_Fairlady_Z_432","The 1969 Fairlady Z - known as the Datsun 240Z outside of Japan - is a two-seater fastback coupé that was mainly designed for the North American market, where it competed against European six-cylinder sports cars. The Z 432 was a Japanese market special with the engine from the Nissan Skyline 2000GT-R. The first generation Fairlady Z - codenamed S30 - continued production until 1978 under various names reflecting its new engine displacement in export markets, and was replaced by the S130."
344,287,273,3310,1501,3.5,"V6",RWD,6,na,53,424,4.1,2.2,2.3,2.5,63000,"Early Sport Compact",171.8,14.418,5.8,14.5,113.8,287.9,1.09,1.05,"/car-images/344.png","https://forza.fandom.com/wiki/Nissan_Fairlady_Z","The Z33 spec Fairlady Z, known as 350Z outside of Japan, marked the fifth generation of Nissan's Z-car line. It was replaced by the Nissan 370Z (Z34) in 2009. The Fairlady Z Z33/350Z is a front-engine, rear-wheel drive sports car designed by Ajay Panchal of Nissan Design America in 2000. It comes with a 3.5L (3,498 cc) naturally aspirated VQ35DE V6 engine producing  at 6,200 rpm and  at 4,800 rpm. Available transmissions include a six-speed manual and a five-speed automatic, with the former bein"
345,276,283,3351,1520,3,"V6",RWD,5,tt,54,398,3.7,1.8,2.2,2.8,66000,"Sport GT Icons",166.1,14.1,5.484,14.6,114,0,1.07,1.04,"/car-images/345.png","https://forza.fandom.com/wiki/Nissan_Fairlady_Z_Version_S_Twin_Turbo",""
348,550,500,3390,1538,5.4,"V8",RWD,6,tw,43,642,6.6,3.4,3.5,4.2,111000,"Modern Sport GT",208,12.2,3.8,8.8,102.3,0,1.19,1.21,"/car-images/348.png","https://forza.fandom.com/wiki/Ford_GT_(2005)","Built as part of Ford's 100th anniversary celebration, the first-generation Ford GT reintroduces the GT name previously used by the Ford GT40 Mk II. In 2015, a successor to the first-generation Ford GT was unveiled and put into production near the end of 2016 for the 2017 model year. The Ford GT uses a similar external appearance to the original Ford GT40 cars, but bigger, wider, and most importantly 3 in (76 mm) taller than the original 40 in (100 cm) GT40s. As a result, the Ford GT could poten"
349,197,147,2535,1150,2,"V6",FWD,5,na,62,355,2.9,1.6,2,2,50000,"Early Sport Compact",155,15.4,6.9,17.8,114.3,305.2,1.06,1.01,"/car-images/349.png","https://forza.fandom.com/wiki/Mitsubishi_FTO_GP_Version_R",""
350,280,270,3485,1581,3.5,"V6",RWD,6,na,53,415,4.4,2.1,2.3,2.6,73000,"Sport Touring Classics",175.1,14.582,6.081,14.9,113.9,287.7,1.08,1.05,"/car-images/350.png","https://forza.fandom.com/wiki/Infiniti_G35_Coupe","The G35 Coupe has a V6 that produce 209 kW (284 PS; 280 hp) and 366 N⋅m (270 lb⋅ft). The G35 Coupe was produced as a grand tourer alternative to the Nissan 350Z, which shares its 3.5 litre V6 engine and platform with the G35. It was available in Japan as the Nissan Skyline Coupe 350GT."
353,139,120,2425,1100,1.8,"I4",FWD,5,na,63,286,1,1.4,1.6,1.7,28000,"Hot Hatch Icons",129.5,15.9,8.1,23.8,119.9,321.9,1.03,0.96,"/car-images/353.png","https://forza.fandom.com/wiki/Volkswagen_Golf_Gti_16v_Mk2","The Mk2 Golf GTI 16V is the successor to the original Golf GTI that debuted for the 1986 model year to complement the eight-valve Mk2 GTI base model that was introduced earlier. The 16V designation refers to the twin-cam 1.8 liter EA827 engine with , which made the GTI 16V the most powerful Mk2 Golf after the supercharged G60 model. The Mk2 GTI ended production in 1992 and was replaced by the Mk3 GTI."
354,241,236,3256,1477,3.2,"V6",AWD,6,na,62,395,3.1,2,2.1,2.4,56000,"Modern Hot Hatch",159.3,14.1,5.8,14.4,106.9,281.2,1.07,1.03,"/car-images/354.png","https://forza.fandom.com/wiki/Volkswagen_Golf_R32","The R32 debuted for the 2003 model year as a limited-production model ranging above the GTI as the ultimate performance model of the Mk4 Golf. Previously introduced by the New Beetle RSi, the R series was designed specifically as a performance brand to the Volkswagen brand akin to BMW's M series or the AMG series of Mercedes-Benz. This model adds aggressive styling elements to the otherwise subtle Golf body including a redesigned front-end, oversize exhaust pipes, and 18 inch, 15 spoke alloy whe"
357,320,315,3704,1680,3,"V6",AWD,6,tt,61,451,4.2,2.2,2.4,2.6,74000,"Early Sport Compact",0,0,0,0,0,0,0,0,"/car-images/357.png","https://forza.fandom.com/wiki/Mitsubishi_GTO",""
358,395,366,2557,1160,2.9,"V8",RWD,5,tt,47,569,5,2.6,2.9,4,141000,"Sport GT Icons",186.3,14.1,5,11.02,106.6,317.3,1.16,1.11,"/car-images/358.png","https://forza.fandom.com/wiki/Ferrari_288_GTO",""
363,276,265,2800,1270,2.2,"F4",AWD,5,t,58,511,2.6,2.7,2.8,3.2,86000,"Early Sport Compact",0,0,0,0,0,0,0,0,"/car-images/363.png","https://forza.fandom.com/wiki/SUBARU_Impreza_22B-STi_Version","The 22B STi is a limited production car based on the first generation Subaru Impreza WRX. It was sold primarily in Japan and exported in lower numbers to Europe and Australia."
